holeCards,commCards,Key,Value
"['D3', 'D9']","['S9', 'S5', 'DQ']",2000_93_3200_Q9953,0.66
"['D3', 'D9']","['S9', 'S5', 'C9']",2000_93_2210_99953,0.925
"['D3', 'D9']","['S9', 'S5', 'H5']",2000_93_2210_99553,0.685
"['D3', 'D9']","['S9', 'S5', 'C4']",2000_93_2210_99543,0.734
"['D3', 'D9']","['S9', 'S5', 'HT']",2000_93_2210_T9953,0.655
"['D3', 'D9']","['S9', 'S5', 'DA']",2000_93_3200_A9953,0.714
"['D3', 'D9']","['S9', 'S5', 'D5']",2000_93_3200_99553,0.686
"['D3', 'D9']","['S9', 'S4', 'HJ']",2000_93_2210_J9943,0.656
"['D3', 'D9']","['S9', 'S4', 'HK']",2000_93_2210_K9943,0.673
"['D3', 'D9']","['S9', 'S4', 'DT']",2000_93_3200_T9943,0.677
"['D3', 'D9']","['S9', 'S4', 'HA']",2000_93_2210_A9943,0.696
"['D3', 'D9']","['S9', 'S4', 'DQ']",2000_93_3200_Q9943,0.717
"['D3', 'D9']","['S9', 'S4', 'C9']",2000_93_2210_99943,0.945
"['D3', 'D9']","['S9', 'S4', 'C4']",2000_93_2210_99443,0.703
"['D3', 'D9']","['S9', 'S4', 'HT']",2000_93_2210_T9943,0.655
"['D3', 'D9']","['S9', 'S4', 'DA']",2000_93_3200_A9943,0.689
"['D3', 'D9']","['S9', 'S4', 'D4']",2000_93_3200_99443,0.731
"['D3', 'D9']","['S9', 'HJ', 'HK']",2000_93_2210_KJ993,0.596
"['D3', 'D9']","['S9', 'HJ', 'HA']",2000_93_2210_AJ993,0.594
"['D3', 'D9']","['S9', 'HJ', 'C9']",2000_93_2111_J9993,0.898
"['D3', 'D9']","['S9', 'HJ', 'C8']",2000_93_2111_J9983,0.603
"['D3', 'D9']","['S9', 'HJ', 'C3']",2000_93_2111_J9933,0.876
"['D3', 'D9']","['S9', 'HJ', 'C2']",2000_93_2111_J9932,0.682
"['D3', 'D9']","['S9', 'HJ', 'C7']",2000_93_2111_J9973,0.652
"['D3', 'D9']","['S9', 'HJ', 'C6']",2000_93_2111_J9963,0.688
"['D3', 'D9']","['S9', 'HJ', 'C5']",2000_93_2111_J9953,0.651
"['D3', 'D9']","['S9', 'HJ', 'C4']",2000_93_2111_J9943,0.675
"['D3', 'D9']","['S9', 'HJ', 'CK']",2000_93_2111_KJ993,0.609
"['D3', 'D9']","['S9', 'HJ', 'CJ']",2000_93_2111_JJ993,0.704
"['D3', 'D9']","['S9', 'HJ', 'CA']",2000_93_2111_AJ993,0.644
"['D3', 'D9']","['S9', 'HJ', 'HT']",2000_93_2210_JT993,0.519
"['D3', 'D9']","['S9', 'HJ', 'CT']",2000_93_2111_JT993,0.543
"['D3', 'D9']","['S9', 'HJ', 'H9']",2000_93_2210_J9993,0.893
"['D3', 'D9']","['S9', 'HJ', 'SJ']",2000_93_2210_JJ993,0.669
"['D3', 'D9']","['S9', 'HK', 'HA']",2000_93_2210_AK993,0.652
"['D3', 'D9']","['S9', 'HK', 'C9']",2000_93_2111_K9993,0.915
"['D3', 'D9']","['S9', 'HK', 'C8']",2000_93_2111_K9983,0.682
"['D3', 'D9']","['S9', 'HK', 'C3']",2000_93_2111_K9933,0.874
"['D3', 'D9']","['S9', 'HK', 'C2']",2000_93_2111_K9932,0.693
"['D3', 'D9']","['S9', 'HK', 'C7']",2000_93_2111_K9973,0.693
"['D3', 'D9']","['S9', 'HK', 'C6']",2000_93_2111_K9963,0.68
"['D3', 'D9']","['S9', 'HK', 'C5']",2000_93_2111_K9953,0.702
"['D3', 'D9']","['S9', 'HK', 'C4']",2000_93_2111_K9943,0.706
"['D3', 'D9']","['S9', 'HK', 'CK']",2000_93_2111_KK993,0.705
"['D3', 'D9']","['S9', 'HK', 'CA']",2000_93_2111_AK993,0.672
"['D3', 'D9']","['S9', 'HK', 'HT']",2000_93_2210_KT993,0.563
"['D3', 'D9']","['S9', 'HK', 'CT']",2000_93_2111_KT993,0.593
"['D3', 'D9']","['S9', 'HK', 'H9']",2000_93_2210_K9993,0.909
"['D3', 'D9']","['S9', 'HK', 'SK']",2000_93_2210_KK993,0.677
"['D3', 'D9']","['S9', 'DT', 'HA']",2000_93_3110_AT993,0.662
"['D3', 'D9']","['S9', 'DT', 'DQ']",2000_93_4100_QT993,0.717
"['D3', 'D9']","['S9', 'DT', 'C9']",2000_93_3110_T9993,0.91
"['D3', 'D9']","['S9', 'DT', 'C8']",2000_93_3110_T9983,0.614
"['D3', 'D9']","['S9', 'DT', 'H5']",2000_93_3110_T9953,0.698
"['D3', 'D9']","['S9', 'DT', 'C3']",2000_93_3110_T9933,0.846
"['D3', 'D9']","['S9', 'DT', 'C2']",2000_93_3110_T9932,0.71
"['D3', 'D9']","['S9', 'DT', 'C7']",2000_93_3110_T9973,0.612
"['D3', 'D9']","['S9', 'DT', 'C6']",2000_93_3110_T9963,0.663
"['D3', 'D9']","['S9', 'DT', 'C4']",2000_93_3110_T9943,0.686
"['D3', 'D9']","['S9', 'DT', 'HT']",2000_93_3110_TT993,0.703
"['D3', 'D9']","['S9', 'DT', 'DA']",2000_93_4100_AT993,0.784
"['D3', 'D9']","['S9', 'DT', 'D4']",2000_93_4100_T9943,0.797
"['D3', 'D9']","['S9', 'DT', 'SQ']",2000_93_3200_QT993,0.592
"['D3', 'D9']","['S9', 'DT', 'ST']",2000_93_3200_TT993,0.689
"['D3', 'D9']","['S9', 'DT', 'D8']",2000_93_4100_T9983,0.694
"['D3', 'D9']","['S9', 'DT', 'D6']",2000_93_4100_T9963,0.755
"['D3', 'D9']","['S9', 'DT', 'D7']",2000_93_4100_T9973,0.755
"['D3', 'D9']","['S9', 'DT', 'SA']",2000_93_3200_AT993,0.639
"['D3', 'D9']","['S9', 'DT', 'D5']",2000_93_4100_T9953,0.797
