holeCards,commCards,Key,Value
"['D4', 'D5']","['S9', 'S4', 'DT']",2000_54_3200_T9544,0.556
"['D4', 'D5']","['S9', 'S4', 'HA']",2000_54_2210_A9544,0.562
"['D4', 'D5']","['S9', 'S4', 'DQ']",2000_54_3200_Q9544,0.546
"['D4', 'D5']","['S9', 'S4', 'C9']",2000_54_2210_99544,0.579
"['D4', 'D5']","['S9', 'S4', 'C4']",2000_54_2210_95444,0.917
"['D4', 'D5']","['S9', 'S4', 'HT']",2000_54_2210_T9544,0.556
"['D4', 'D5']","['S9', 'S4', 'DA']",2000_54_3200_A9544,0.606
"['D4', 'D5']","['S9', 'S4', 'D9']",2000_54_3200_99544,0.614
"['D4', 'D5']","['S9', 'HJ', 'HK']",2000_54_2210_KJ954,0.161
"['D4', 'D5']","['S9', 'HJ', 'HA']",2000_54_2210_AJ954,0.164
"['D4', 'D5']","['S9', 'HJ', 'C9']",2000_54_2111_J9954,0.192
"['D4', 'D5']","['S9', 'HJ', 'C8']",2000_54_2111_J9854,0.162
"['D4', 'D5']","['S9', 'HJ', 'C3']",2000_54_2111_J9543,0.178
"['D4', 'D5']","['S9', 'HJ', 'C2']",2000_54_2111_J9542,0.165
"['D4', 'D5']","['S9', 'HJ', 'C7']",2000_54_2111_J9754,0.179
"['D4', 'D5']","['S9', 'HJ', 'C6']",2000_54_2111_J9654,0.2
"['D4', 'D5']","['S9', 'HJ', 'C5']",2000_54_2111_J9554,0.55
"['D4', 'D5']","['S9', 'HJ', 'C4']",2000_54_2111_J9544,0.569
"['D4', 'D5']","['S9', 'HJ', 'CK']",2000_54_2111_KJ954,0.148
"['D4', 'D5']","['S9', 'HJ', 'CJ']",2000_54_2111_JJ954,0.165
"['D4', 'D5']","['S9', 'HJ', 'CA']",2000_54_2111_AJ954,0.159
"['D4', 'D5']","['S9', 'HJ', 'HT']",2000_54_2210_JT954,0.133
"['D4', 'D5']","['S9', 'HJ', 'CT']",2000_54_2111_JT954,0.152
"['D4', 'D5']","['S9', 'HJ', 'H9']",2000_54_2210_J9954,0.154
"['D4', 'D5']","['S9', 'HJ', 'SJ']",2000_54_2210_JJ954,0.191
"['D4', 'D5']","['S9', 'HK', 'HA']",2000_54_2210_AK954,0.176
"['D4', 'D5']","['S9', 'HK', 'C9']",2000_54_2111_K9954,0.188
"['D4', 'D5']","['S9', 'HK', 'C8']",2000_54_2111_K9854,0.175
"['D4', 'D5']","['S9', 'HK', 'C3']",2000_54_2111_K9543,0.195
"['D4', 'D5']","['S9', 'HK', 'C2']",2000_54_2111_K9542,0.179
"['D4', 'D5']","['S9', 'HK', 'C7']",2000_54_2111_K9754,0.18
"['D4', 'D5']","['S9', 'HK', 'C6']",2000_54_2111_K9654,0.22
"['D4', 'D5']","['S9', 'HK', 'C5']",2000_54_2111_K9554,0.597
"['D4', 'D5']","['S9', 'HK', 'C4']",2000_54_2111_K9544,0.562
"['D4', 'D5']","['S9', 'HK', 'CK']",2000_54_2111_KK954,0.181
"['D4', 'D5']","['S9', 'HK', 'CA']",2000_54_2111_AK954,0.182
"['D4', 'D5']","['S9', 'HK', 'HT']",2000_54_2210_KT954,0.146
"['D4', 'D5']","['S9', 'HK', 'CT']",2000_54_2111_KT954,0.17
"['D4', 'D5']","['S9', 'HK', 'H9']",2000_54_2210_K9954,0.176
"['D4', 'D5']","['S9', 'HK', 'SK']",2000_54_2210_KK954,0.18
"['D4', 'D5']","['S9', 'DT', 'HA']",2000_54_3110_AT954,0.216
"['D4', 'D5']","['S9', 'DT', 'DQ']",2000_54_4100_QT954,0.459
"['D4', 'D5']","['S9', 'DT', 'C9']",2000_54_3110_T9954,0.221
"['D4', 'D5']","['S9', 'DT', 'C8']",2000_54_3110_T9854,0.198
